,sheet,row_id,code,pathogen,activity,item,item_value,timestamp
100,1-6,11,I76DR_1037P1,Proteus mirabilis 16585/B,MIC,1,>128,2025-12-20_22:00:59
101,1-6,11,I76DR_1037P1,Proteus mirabilis 16585/B,MIC,2,>128,2025-12-20_22:00:59
102,1-6,11,I76DR_1037P1,Proteus mirabilis 16585/B,MIC,3,>128,2025-12-20_22:00:59
103,1-6,11,I76DR_1037P1,Proteus mirabilis 16585/B,MBC,1,>128,2025-12-20_22:00:59
104,1-6,11,I76DR_1037P1,Proteus mirabilis 16585/B,MBC,2,>128,2025-12-20_22:00:59
105,1-6,11,I76DR_1037P1,Proteus mirabilis 16585/B,MBC,3,>128,2025-12-20_22:00:59
106,1-6,11,I76DR_1037P1,Proteus mirabilis 16585/B,MICb,1,-,2025-12-20_22:00:59
107,1-6,11,I76DR_1037P1,Proteus mirabilis 16585/B,MICb,2,-,2025-12-20_22:00:59
108,1-6,11,I76DR_1037P1,Proteus mirabilis 16585/B,MICb,3,-,2025-12-20_22:00:59
109,1-6,11,I76DR_1037P1,Proteus mirabilis 16585/B,gentamicin,1,-,2025-12-20_22:00:59
110,1-6,12,I76DR_1037P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MIC,1,2,2025-12-20_22:00:59
111,1-6,12,I76DR_1037P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MIC,2,2,2025-12-20_22:00:59
112,1-6,12,I76DR_1037P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MIC,3,2,2025-12-20_22:00:59
113,1-6,12,I76DR_1037P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MBC,1,2,2025-12-20_22:00:59
114,1-6,12,I76DR_1037P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MBC,2,2,2025-12-20_22:00:59
115,1-6,12,I76DR_1037P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MBC,3,4,2025-12-20_22:00:59
116,1-6,12,I76DR_1037P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MICb,1,-,2025-12-20_22:00:59
117,1-6,12,I76DR_1037P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MICb,2,-,2025-12-20_22:00:59
118,1-6,12,I76DR_1037P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MICb,3,-,2025-12-20_22:00:59
119,1-6,12,I76DR_1037P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),gentamicin,1,-,2025-12-20_22:00:59
120,1-6,13,I76DR_1037P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MIC,1,>128,2025-12-20_22:00:59
121,1-6,13,I76DR_1037P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MIC,2,>128,2025-12-20_22:00:59
122,1-6,13,I76DR_1037P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MIC,3,>128,2025-12-20_22:00:59
123,1-6,13,I76DR_1037P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MBC,1,>128,2025-12-20_22:00:59
124,1-6,13,I76DR_1037P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MBC,2,>128,2025-12-20_22:00:59
125,1-6,13,I76DR_1037P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MBC,3,>128,2025-12-20_22:00:59
126,1-6,13,I76DR_1037P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MICb,1,-,2025-12-20_22:00:59
127,1-6,13,I76DR_1037P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MICb,2,-,2025-12-20_22:00:59
128,1-6,13,I76DR_1037P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MICb,3,-,2025-12-20_22:00:59
129,1-6,13,I76DR_1037P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),gentamicin,1,-,2025-12-20_22:00:59
130,1-6,14,I76DR_1037P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MIC,1,32,2025-12-20_22:00:59
131,1-6,14,I76DR_1037P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MIC,2,32,2025-12-20_22:00:59
132,1-6,14,I76DR_1037P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MIC,3,32,2025-12-20_22:00:59
133,1-6,14,I76DR_1037P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MBC,1,128,2025-12-20_22:00:59
134,1-6,14,I76DR_1037P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MBC,2,128,2025-12-20_22:00:59
135,1-6,14,I76DR_1037P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MBC,3,64,2025-12-20_22:00:59
136,1-6,14,I76DR_1037P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MICb,1,-,2025-12-20_22:00:59
137,1-6,14,I76DR_1037P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MICb,2,-,2025-12-20_22:00:59
138,1-6,14,I76DR_1037P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MICb,3,-,2025-12-20_22:00:59
139,1-6,14,I76DR_1037P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),gentamicin,1,-,2025-12-20_22:00:59
140,1-6,15,I76DR_1037P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MIC,1,128,2025-12-20_22:00:59
141,1-6,15,I76DR_1037P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MIC,2,128,2025-12-20_22:00:59
